Index	p	result_a0	result_a1	sample_a0	sample_a1
192	79	-2074052359	-191815482	795319389	-1583707496
193	-69	642837161	-1379516033	1484013814	-1090683378
194	289	185476753	1538606257	133310365	963850266
195	-256	1956587089	195946953	2025660179	-921298486
196	-405	1957525050	-1162657890	1868232542	383111459
197	-182	702099380	2058004741	1516935830	248130210
198	-418	-617722837	-1635469638	-1658004680	-721279951
199	-111	1206021652	526529382	-632210718	433808447
200	359	-533720398	869329880	-478990733	-226612433
201	270	-213916394	241085934	-637412514	-233517392
202	-199	-1099773401	-1020783714	78899813	1222763045
203	-298	-1068430984	504997291	604608552	1046729557
204	501	-558585201	-1763723870	-1046262530	-1920562952
205	260	872179806	2109680725	536446698	301810799
206	221	-99885207	-217670774	1087138782	-780590348
207	-243	-395144443	1613762937	394168805	828635982
208	-122	-1514999605	-1598861888	-452456010	-1493641171
209	353	1292822367	-104358519	-1629418737	1152708788
210	-171	-851835972	-2037581943	1372379621	-1665514641
211	-372	1680013751	2064229621	-1961202028	168559571
212	330	-1528404799	-1548719676	-2047488261	1376562548
213	-90	1865582964	1497708547	347973325	-1398271454
214	-467	-1505284855	544560978	1928303942	-949392089
215	198	-991989219	-126879998	1703044057	-1464801086
216	192	-1183211463	1495728670	1638009681	-2020874791
217	-158	-1952832848	-583796629	-733392556	-808952311
218	345	-1048300190	465630360	-845738350	2064038106
219	-147	1910109314	-1669035694	-1896056398	229698678
220	355	2031215572	-1074394717	-342952718	968588263
221	463	1248141948	-1765099303	1209236792	13820074
222	0	-1663800539	1080357610	-958982444	-1417933226
223	192	-620537577	619946065	1527264149	1687236733
224	-491	1782637433	-1530902775	1711018125	-848545696
225	-449	-1084586545	-1127899820	-2083100157	1330166463
226	336	-2098702670	1519588551	-1933825472	1066533775
227	-309	-1397953913	-256119812	-2101782804	327614755
228	-349	860471376	-265655142	-1910530473	40054853
229	-177	632264279	-1826095023	1427085309	-218338016
230	82	-245342569	1796432942	-566315171	31423774
231	117	-911733442	1123622642	-2087569882	464930757
232	148	-532179480	2138730677	-1849883642	1476353731
233	115	-269951758	784857026	-704007868	1203447257
234	325	-179874781	254032993	-1136084497	1710898416
235	109	2110195904	-1471156447	824534916	-427120328
236	-37	1855702120	-1501472430	-1090782671	1757438093
237	433	383358532	-948385107	-1342519650	-1865121390
238	-430	1612562267	-1984889605	580518040	1930434038
239	174	-707138842	526807333	758962531	2014277133
240	42	-160655709	2022185485	-1408630379	1105786443
241	247	98650097	181273921	1928752999	-464456869
242	315	-747689189	328783965	-520610392	1546301609
243	-282	-1736087080	-285523772	1750304067	-2127505991
244	508	1347909455	-2073509278	2031050552	1520342220
245	-469	-665066339	2006577768	-13003247	-1240796435
246	-381	144353813	-1350629992	-184648561	-207915713
247	485	-119609134	1212071410	-2028995829	-1544505585
248	-495	-750905500	205720810	-505290844	1649757719
249	-108	1648697405	1388849531	589101819	-1437691337
250	-500	-1447206660	-1669362351	1410873625	-163063525
251	451	1899076797	1514989830	-1338646089	-999955784
252	-408	-1461687908	1757098369	-838559050	851288523
253	-508	-1785548813	-1384652091	-861912260	-433468235
254	-227	-783227969	-1871978012	19752459	-1085245999
255	-470	1835771800	-715579640	347595870	1545776192
256	-279	1882540078	-591143587	648782550	619001359
257	253	-1833840306	-1277664604	16098660	-482267295
258	31	-1081604434	1981992268	1951506760	-129899217
259	-199	889279282	-480347791	-1822246963	1565198456
260	45	-899446701	1110741730	643071453	-2037213380
261	76	1731454698	-935120285	-522739711	-1777744033
262	-60	-725872108	2040466113	1408700463	89644397
263	274	1418951918	-601399590	-1172767536	508666040
264	-282	-390207971	-979966922	1227339487	-767721781
265	283	-272434192	-1246882244	1750975920	-377030061
266	-472	48387459	1156050175	169078645	-1193441851
267	462	-531507576	-2041605902	-1331102754	697467641
268	-502	-1210059101	-1902527341	-1695141033	1705733191
269	440	-1602702115	-1666644639	-1736168374	-1544385767
270	27	1504818954	-212044707	-1067303321	-1739185880
271	230	1955000004	125021426	-630308468	1420190079
272	434	-430634949	-1298339271	1968454483	-1475643917
273	-274	369016478	322822639	-667425984	674817597
274	311	238767203	850983826	1242188965	749338041
275	272	-990953087	-1602290943	101046243	-428593273
276	-216	-558434119	646362197	-2022351259	-477296598
277	-451	280333378	-934075200	-417324678	864673512
278	10	-239107602	-168452909	-1055689937	-1650752549
279	337	-125678989	-1956773085	90177983	-577490648
280	-129	-706956023	410680474	-1770619676	1327136426
281	-509	-140607294	1106091226	943316383	1776293882
282	112	-286682695	1556009372	642389388	1700787341
283	134	2071321074	-742187069	1328810443	-1123615207
284	-168	-2082534511	1532843985	-1376198823	-407534717
285	484	927697484	1849504905	86815971	-1142151975
286	342	-990710171	1897586183	419735616	-338134917
287	342	-1369742309	913147252	-154269336	-1948127765
288	227	504316927	760541983	58670640	778819015
289	184	-747006513	-1683181914	-839328224	-671177637
290	-319	-2000641820	512347328	-1821101361	-1465594945
291	-71	1738482176	-441965499	542509921	2017568338
292	-26	-2027953363	-969846833	1146657768	852666884
293	119	-1326036403	-1494946863	-97682092	2075029004
294	-303	2045205406	-828631972	2019060476	-1510743398
295	488	25076336	1982199455	1350862452	558341764
296	403	405310943	1620225024	894099319	-172482667
297	269	-1015135320	1249447392	421303166	-215039648
298	-61	-390075451	440993235	-25841610	-274728196
299	199	923503220	-197789421	175419212	-387929698
300	172	462208655	1907377099	218308705	1576892576
301	-168	-450015220	1069483306	1251365221	1091578033
302	-494	1030299665	-116579127	1555288762	-1019115726
303	-363	-699919435	1356517140	-1992829032	324895383
304	-284	1914363620	-420790234	528943508	508295990
305	321	-2146805805	932614602	-1932300528	191408788
306	-438	-1859980893	-1891148440	-467972537	984650794
307	-292	-1308507496	1551311269	1791752013	1096241935
308	-481	920007356	391290536	1100598719	-1937831253
309	-424	-1401864586	-692518238	1380522981	-1419535072
310	280	-1356526620	589479373	1709748480	355554908
311	-301	-1687888245	1169527309	-569182233	-1242646195
312	434	1316344887	-171239613	609600362	-609583947
313	411	578889270	-2081367863	-369726168	-947912201
314	251	130384136	-1591375964	1944990724	1729084171
315	20	-914076655	2037284481	-1742577992	-627800973
316	193	-744776556	-984292342	2146626599	-664131938
317	277	245715402	-866810937	-1725801956	-671009207
318	247	-542945074	1307675971	-1722956911	-718548427
319	-157	-489518455	791950628	266617483	-338152530
320	-22	1201251072	1418526528	834794733	-97022195
321	428	1946757293	211889518	272726970	-1658228059
322	491	903547405	542954649	1708110680	2067784144
323	472	-1743933184	1582221152	-1834953929	-1662807616
324	-450	1661589585	-1494074421	417784146	-2046896457
325	430	1637246951	1880222699	116771554	573638716
326	-449	1342468521	273040921	-40635186	230437119
327	491	1403270527	1511147227	-1771528488	-794258266
328	99	1709760715	-1390021521	684935516	-301031014
329	296	1720373682	1653528184	407917987	-1897093012
330	-473	460883601	-1710795651	318699897	-1090770709
331	169	1869775296	-1665271128	-155803662	949323437
332	-383	-768143737	1511825460	384378300	-1446705093
333	-371	2003022050	822282134	-457749539	-1548912947
334	462	-1831693182	-266520780	814887498	-2049797121
335	442	-1398746008	-263898463	1002986893	-2078128464
336	-501	892831138	166624231	377257180	-270906433
337	426	-84437730	1811217835	886785539	1032755950
338	-55	1290742459	828318515	-532535467	2037646727
339	467	1755866011	-901635718	-373431348	604400587
340	187	-2008146610	829677568	1554422941	1213381574
341	103	1752120565	1659951712	1917163368	1209263010
342	282	-1602116476	1164140132	709606813	147278413
343	-261	1030843536	1396193301	60032364	-1594596715
344	-301	-1510243323	1080339058	-2052507054	-813853834
345	222	67355794	1727057352	-1649977611	-1088615555
346	-502	-556876458	1376321506	1774659038	37849491
347	408	1679764708	1848349405	-82865868	1978601159
348	-312	1011987888	-1187439492	587963834	1326749351
349	-220	1742143404	-195305874	1346792496	1658209612
350	423	-1063272705	-1272379302	872452666	810466302
351	187	1965847156	-161377949	-1417635686	-234045404
352	94	1747609407	1516705120	-571627004	-2123393782
353	-133	1626019152	2125595937	-1043654003	-669093206
354	260	154203212	-270272082	-517727545	-231923583
355	214	-1986759556	1126412316	-1861902664	-1658904490
356	99	-1982941326	1837898846	-1927051461	1180073203
357	478	1826637305	237846750	-1191684651	1316235032
358	207	1357898488	1508606846	228437657	1060808625
359	-428	-1173220858	82062958	-1803257157	81182155
360	-231	-1070268246	11705174	-1335817918	1507284100
361	-286	1396930732	1379816507	2077360058	534125727
362	-344	-691112159	2110591477	-857075969	800927992
363	198	1131368787	-181804922	-2082727013	-304533421
364	463	150768768	2039525034	-1443314477	974856066
365	478	2133176352	-2115558171	-1366906006	591141013
366	-276	-1859975639	-1367635427	-785493574	960315207
367	145	1177945552	-59420778	2015295505	1384409104
368	-266	1044638850	1094585723	1239481578	-380692784
369	-385	-1664953030	-1537707970	1307677411	1933515770
370	329	20123918	-202976604	1379404965	1013967275
371	73	847060534	-583230755	-968383395	349718929
372	-29	-1153499192	-1563917356	-1266574036	2076203935
373	-238	1623854473	368789443	-2044248606	-1553819951
374	-93	-2145878637	-232988115	33984826	153224001
375	-432	-2061316314	3894187	653363017	828184563
376	-204	-944793983	-939641323	1085207855	-368567571
377	-295	546444078	-2109125245	-1466939134	-1188613428
378	-338	-1651312489	2126312375	-1640540454	-594472602
379	-474	-1674991073	-547938448	1255268210	-1967629650
380	503	1137469461	-1454541366	-1579592600	560440831
381	298	1421517271	-761920296	1056051794	-2025125690
382	-444	654985090	191606544	-983556095	-796822673
383	495	-2060364283	-438555494	-2121615735	-466300153
384	-163	348246994	1034659923	411109207	-1809417809
385	-490	-1600910636	1186396042	362247075	-1488762769
386	325	-440352563	-625973210	-1285387040	-356761404
387	-89	1598259772	508590507	-1903563815	1617385375
388	162	-303889430	1345673150	-1184104708	1554001004
389	-4	-90311625	349392886	-1327310537	-308170114
390	-167	-13231385	448147042	40514311	-1630936602
391	-56	-562724068	1984360197	-1606966924	-498830730
392	-38	-867746634	-1888490690	-1157734102	-1622660028
393	-70	-1555548854	-17217527	-1657683948	618259275
394	507	1540426014	2050227566	650095203	1672008038
395	173	-1162609116	-1457606620	2136106148	-1214694161
396	-509	-647313669	593860829	2058666906	642966308
397	286	-1828674529	1107160955	-1290015830	1872964876
398	-459	750061710	-336776068	653827883	-1094941015
399	-280	-2132604812	-173736189	-105737266	1437032044
400	-415	704786566	-1395108953	363203823	183284009
401	-262	-1054286205	1517874988	1969619202	-1871645889
402	404	-1920460816	-49718535	1080141711	2126613074
403	-457	-1685311589	-1835750634	2020198986	1473302531
404	370	-1585140953	1615658237	1830237483	-1558719643
405	509	-1327422047	-1286607204	-676136965	1164007978
406	191	-1720593049	-1111780049	-1277447469	80077085
407	446	-630972242	-733296497	-597581027	1393986896
408	-384	-754925781	-1212068121	-568709785	-841880438
409	-317	-268610177	312859669	-2042686547	793660073
410	94	-1054955849	-1209077999	-2145564264	829177381
411	-503	1948511543	-1109289712	-735523521	-699199014
412	281	310174761	731127436	393981405	-171258049
413	-135	-317954876	1884157810	2099917615	-739922723
414	-134	377805116	-1533954384	-1022040329	-1844796413
415	1	2145137812	1304168840	-14384597	1281645377
416	-334	-1956870862	634028030	408805188	-373180990
417	-212	456943922	-507681978	1300483046	-1347123163
418	341	-1461831406	-717518032	-465701409	-1538124773
419	-305	-1831191462	-1413745617	-25641894	-114709610
420	-47	-381856953	2078282860	-1626688691	1243046365
421	-170	1329851901	-409677422	-1735666657	171526152
422	491	-1801887848	1595556589	-1616084553	-1375333236
423	-19	1178649308	2118551272	-1107238936	-1188148514
424	253	-263448731	667625251	1450931798	-718778177
425	269	-1335546884	-1909106475	1825620173	1261485820
426	489	-250114344	988231960	-935206139	269630571
427	-7	159141110	509085468	1909822944	1865154560
428	-474	1025662369	2051140364	-876214785	93928448
429	121	-820599190	425864516	1086273715	-804139396
430	360	-1307947177	90251986	394650605	-2072812609
431	306	1981076080	1066465983	-2122645545	1635548964
432	291	-361318307	720525981	562275490	-1561753145
433	-49	1226140659	-1078258946	1452404076	-2078362270
434	-27	-1314813231	-1734086637	-2057777918	1934188125
435	22	1431842945	-1138825238	-1203652001	-244892977
436	93	929559719	641121529	1865576058	485343636
437	356	-1572881305	1368428354	1054154353	1584473557
438	-445	-447422734	867039434	-1396457409	681588928
439	484	-852894279	1063891893	-2031579477	-231281294
440	-257	-170706517	401492423	-1242437187	-1871223851
441	110	-692077847	254508280	-476144034	831905006
442	404	-125599218	-83100752	414788680	-1830050656
443	126	-1569008572	-1924109302	-196200677	977826013
444	437	1152379234	-388152040	382904463	1865903612
445	-166	-1618578081	-1438495877	1814576224	972155257
446	118	496969547	-645885756	680219599	1011126513
447	-371	-1721375896	-1915359187	1929953988	1563563132
448	-428	-1825154173	2069244293	417076043	-1014725676
449	454	-1348896954	767141242	-905513415	-635205455
450	339	1355077028	-2112614872	-1030769382	442999740
451	51	-829678460	-21105576	1890532868	-497790121
452	60	1811622124	125691341	-1582073034	1097246000
453	269	-537729478	465075680	-666219581	2032965727
454	-3	-1397139814	824692549	433072621	-1790114395
455	-296	-1666681962	-1822374508	142414868	586868819
456	44	-1285340980	967172922	279246637	-551376030
457	385	-573706522	1454324242	798887562	1293596018
458	-173	-1339915595	492869707	590944441	-2042080087
459	-290	-360631673	-1945006010	-1717923806	2044452355
460	100	-1491649838	-243704777	1419414025	-1494203578
461	-352	-739037945	-65226259	1360553833	-1581367813
462	109	329086031	1635373062	-1638229059	-2115449861
463	344	1844695177	-1746585689	795331273	2104815484
464	-361	-1534423015	463275979	1902932669	-1389314969
465	-465	391217812	2065529166	-729617759	1829116969
466	-355	-1375149833	657344227	1070002698	295152038
467	-45	1764838139	1743218166	-865964936	1762195580
468	-186	-62547038	-371568055	2087562542	-1735499966
469	-222	1342383630	-713686966	-472835217	869096656
470	248	-1699047263	-401254684	1423140715	-2076876141
471	491	-986725904	-2050370054	-1584418821	2120878244
472	459	2091140467	1663170742	-1720506259	537465798
473	281	1907711131	1414208597	540800925	-533344140
474	-426	131985753	500780462	1921765290	79645071
475	-216	-1621993601	-2025441227	2086331469	-732468544
476	280	-2010209222	-1392577570	344362256	1124020475
477	510	437569383	870037575	-281655061	1241609026
478	-180	100637381	1629170706	1116277054	772838731
479	-489	-1933703972	644502388	70315285	864689844
480	-145	-784964483	1934069297	-1167866636	39095235
481	-380	1724596612	-85197497	364284789	1835252392
482	-418	900049413	1172071634	-442653546	-1668345093
483	-188	855372381	-1678608466	1951002384	562645813
484	294	268838743	-1790350584	-755876372	-507948077
485	-23	-1769681035	-912514080	-1759831797	667608958
486	278	-1045415578	706305245	129212882	-509053203
487	106	-2122801377	-1844056390	-1948847203	-1602152524
488	220	1549354303	-1293624648	1613746945	357793031
489	-100	-235714566	-1370280807	1269729031	1876846529
490	-489	-141470022	3548798	1446371307	2046394956
491	-351	921164617	-1202792976	-1791228724	-1347913359
492	49	312147732	129252085	-322960972	-317316735
493	446	2110821867	720849285	750821551	-469862173
494	-270	-1721296694	-2035331365	-1066494385	228707446
495	-410	-1624378926	1245150582	-444380505	-1257000933
496	419	890381715	-1571729971	-984766533	1958832451
497	-318	-1195675604	-1058662976	-766538947	-1970174360
498	29	1877356830	-1175455605	1613379470	-263561968
499	-409	260997509	-1426251674	287838155	-911445334
500	427	523032980	597816155	-1848333508	1498192593
501	456	-811374928	1490090304	-279481449	1690403438
502	-137	-1181333058	1332735529	-1152568434	-1080032413
503	-278	1136926742	-1280521323	1655887470	-2041520963
504	-225	-1613562024	-1244618519	1315112349	-1451851679
505	235	-1573258776	-985246914	2022579702	1040694173
506	149	2054071730	-984025451	1586899522	1075099883
507	49	589242862	1352930223	1125155031	-1597846641
508	12	-194577108	-995826263	-563510811	-1559457374
509	-248	-1422473923	-1488706383	240218304	1114336419
510	-27	171758934	1718790931	-484738454	432156872
511	399	-1023965070	-989374945	-1726624869	2111298798
512	-337	-1444088732	1853154987	-68414707	108313072
513	-429	1197125284	615687881	59770445	-734839783
514	-289	-216108080	-137003520	1847531000	1028474251
515	-147	-1118335649	-1065609179	1418510517	-2146306902
516	-170	1620522497	-345683586	285187218	629011053
517	-207	-1655821735	-1512147301	-999585163	-749046628
518	363	1040938872	1784257835	82952361	-1086683087
519	-416	-430027144	1365784908	-1112811403	-1593858771
520	239	-687773784	-1174172514	-1931838208	-137055447
521	185	-844010408	-128843875	-1614029858	-1529468921
522	-254	494316117	-311454150	-548194847	761836427
523	398	1994707677	1621299480	1325457278	-351795176
524	-163	-1543356822	6887253	45086773	205001989
525	19	1101720941	-1162539212	-457163038	-1077040582
526	-49	-1387186481	-623018000	-1237497508	-134771782
527	-316	1811612822	311572642	-819994032	2078769283
528	170	1508239474	-1527613451	6869574	276138598
529	-434	959734074	427604411	2126735009	-1798052387
530	378	302155689	1840122532	955866692	526627640
531	439	1543089745	-1497899580	-508993434	-678146086
532	-322	712163556	-1607497821	1664988966	1006603138
533	-187	813741895	-1635649283	607604329	512982712
534	-390	-813845876	242120895	1927336602	1742083058
535	307	537337907	1007720998	-2085079322	557332540
536	-320	-1818094527	1730826693	309544451	234701244
537	121	1088083279	-306266243	1741918619	-694766433
538	48	-1471915385	-1323098324	1675494638	450678144
539	-57	550672596	1457029580	-1883625813	417284540
540	414	1106122275	-1458688508	-1864698057	1281657279
541	-125	-1874501230	-712246424	-1523777418	-578708080
542	-139	2115340399	-1840219935	165035630	1996797194
543	-331	148042328	960102618	278372580	1968689411
544	-225	-99891203	1729697583	1820035253	1579243805
545	132	-2017009359	-2096262400	-178624822	-2103891351
546	227	-1188917502	732501326	-1568245471	-884028472
547	-156	-972241520	590805085	-553626403	276911273
548	-315	610546214	1615728570	-526566427	-180077708
549	267	-699995788	1093103197	73677129	798243881
550	-163	-556286961	1358654753	2104559943	-231612489
551	372	1814920825	-2092081467	-1478453615	-1651404153
552	483	-62655920	-1328950346	-271211493	-1906779621
553	-334	1000962257	-404257205	762034058	476292925
554	-199	-2041661960	-379030317	-842217745	-1266445653
555	404	-726781978	-975758040	2041935610	551660885
556	-309	1245665930	1155654785	766287413	1143389453
557	194	1364883624	-732440619	-466900962	-905022154
558	471	-74941560	1185203530	1508812862	-1489647188
559	-88	104810517	1409851586	2113239200	449418683
560	-344	3151301	-599208020	-1276674425	1357411725
561	190	-1793316182	-918336789	-1675838266	-1998698848
562	134	2015262827	-333181823	-1142984212	-1503953434
563	-352	-2054795684	1648365789	287839612	215942883
564	-139	-1692375560	1168636844	-1304499998	-1903776316
